,play_guid,pitcher,batter,num.x,b,s,o,start_tfs,start_tfs_zulu,stand,b_height,p_throws,atbat_des,atbat_des_es,event_num.x,event,event_es,score,home_team_runs,away_team_runs,url.x,inning_side.x,inning.x,next_.x,event2,event2_es,batter_name,pitcher_name,gameday_link.x,date,des,des_es,id,type,tfs,tfs_zulu,x,y,event_num.y,sv_id,start_speed,end_speed,sz_top,sz_bot,pfx_x,pfx_z,px,pz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,break_y,break_angle,break_length,pitch_type,type_confidence,zone,nasty,spin_dir,spin_rate,cc,mt,url.y,inning_side.y,inning.y,next_.y,num.y,on_1b,on_2b,on_3b,gameday_link.y,count
1,3f4fdbc5-6e02-4224-a1fd-1e8166ea9ece,572990,545361,65,0,1,1,15811,2016-07-03T01:58:11Z,R,2-Jun,R,Mike Trout hit by pitch.    Gregorio Petit to 3rd.    Kole Calhoun to 2nd.  ,Mike Trout golpeado por lanzamiento.   Gregorio Petit a 3ra.    Kole Calhoun a 2da.  ,533,Hit By Pitch,Pelotazo,NA,1,13,http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml,top,7,Y,NA,NA,Mike Trout,Pat Light,gid_2016_07_02_anamlb_bosmlb_1,2016_07_02,Hit By Pitch,Pelotazo,530,B,15840,2016-07-03T01:58:40Z,1,1,530,160702_215851,87.6,81.2,3.56,1.66,-2.95,-2.98,-2.149,4.344,-2.482,50,6.586,1.821,-128.522,1.602,-4.953,25.652,-37.112,23.8,7.1,9,FF,0.49,11,24,314.914,789.497,,,http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml,top,7,Y,65,594777,463610,NA,gid_2016_07_02_anamlb_bosmlb_1,0-1
2,65bcfbe4-03cb-45b0-9055-e17f4d6df18a,572990,545361,78,1,3,2,22141,2016-07-03T02:21:41Z,R,2-Jun,R,Mike Trout called out on strikes.  ,Mike Trout se poncha sin tirarle.  ,645,Strikeout,Ponche,NA,2,20,http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml,top,8,Y,NA,NA,Mike Trout,Pat Light,gid_2016_07_02_anamlb_bosmlb_1,2016_07_02,Called Strike,Strike cantado,643,S,22334,2016-07-03T02:23:34Z,91.88,141.5,643,160702_222348,95.9,89,3.4,1.64,-0.92,2.59,0.659,3.603,-2.064,50,6.531,7.903,-140.356,-3.295,-1.856,29.648,-26.906,23.8,0.6,5.6,FC,0.938,12,66,199.407,577.331,,,http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml,top,8,Y,78,NA,NA,463610,gid_2016_07_02_anamlb_bosmlb_1,2-Jan
3,9290e55d-bca2-4ace-a93a-f03ca7f80c17,592390,545361,52,2,1,2,12540,2016-07-03T01:25:40Z,R,2-Jun,R,Mike Trout flies out to right fielder Mookie Betts.  ,Mike Trout batea elevado de out a jardinero derecho Mookie Betts.  ,410,Flyout,Elevado de Out,NA,1,9,http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml,top,6,Y,NA,NA,Mike Trout,Heath Hembree,gid_2016_07_02_anamlb_bosmlb_1,2016_07_02,"In play, out(s)","En juego, out(s)",408,X,12737,2016-07-03T01:27:37Z,107.2,191.88,408,160702_212744,88.2,81.7,3.56,1.66,4.5,5.62,0.257,1.737,-1.194,50,5.391,2.212,-129.219,-4.911,7.624,26.261,-22.58,23.8,-18.8,5.9,SL,0.902,9,37,141.528,1375.839,,,http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml,top,6,Y,52,488862,NA,NA,gid_2016_07_02_anamlb_bosmlb_1,1-Feb
4,b678c891-a0ca-4a04-9dd5-d1a9545c1642,453329,545361,37,3,0,1,5921,2016-07-03T00:59:21Z,R,2-Jun,R,"Mike Trout singles on a ground ball to left fielder Bryce Brentz, deflected by third baseman Travis Shaw.   Kole Calhoun to 2nd.  ","Mike Trout pega sencillo con rodado a jardinero izquierdo Bryce Brentz, desviada por tercera base Travis Shaw.   Kole Calhoun a 2da.  ",289,Single,Sencillo,NA,0,4,http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml,top,5,Y,NA,NA,Mike Trout,Clay Buchholz,gid_2016_07_02_anamlb_bosmlb_1,2016_07_02,"In play, no out","En juego, no out",286,X,5931,2016-07-03T00:59:31Z,108.3265807,188.0166016,286,160702_205018,91.9,85.1,3.56,1.66,-4.55,4.89,-0.689,2.497,-0.763,50,5.858,1.773,-134.737,-4.618,-8.391,28.523,-23.083,23.8,18.5,5.6,FT,0.918,4,45,222.706,1332.108,,,http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml,top,5,Y,37,594777,NA,NA,gid_2016_07_02_anamlb_bosmlb_1,1-Mar
5,d3b60be7-1115-4dd7-aa1f-1ab5a3512bbd,453329,545361,20,1,0,2,627,2016-07-03T00:06:27Z,R,2-Jun,R,Mike Trout flies out to center fielder Jackie Bradley.  ,Mike Trout batea elevado de out a jardinero central Jackie Bradley.  ,153,Flyout,Elevado de Out,NA,0,3,http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml,top,3,Y,NA,NA,Mike Trout,Clay Buchholz,gid_2016_07_02_anamlb_bosmlb_1,2016_07_02,"In play, out(s)","En juego, out(s)",151,X,712,2016-07-03T00:07:12Z,123.18,161.86,151,160702_200721,91.6,84.9,3.56,1.66,-5.43,5.62,-0.162,2.849,-0.817,50,6.012,3.617,-134.293,-4.311,-9.968,27.51,-21.774,23.8,22.2,5.4,FT,0.91,5,30,223.784,1556.252,,,http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml,top,3,Y,20,NA,NA,NA,gid_2016_07_02_anamlb_bosmlb_1,Jan-00
6,d46e2d7e-0647-4611-acdb-fdd22f416d6b,453329,545361,3,1,0,2,231859,2016-07-02T23:18:59Z,R,2-Jun,R,Mike Trout hits a ground-rule double (20) on a line drive to right field.  ,Mike Trout pega doble por reglas de terreno (20) con lÌ_nea al jardÌ_n derecho.  ,18,Double,Doble,NA,0,0,http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml,top,1,Y,NA,NA,Mike Trout,Clay Buchholz,gid_2016_07_02_anamlb_bosmlb_1,2016_07_02,"In play, no out","En juego, no out",16,X,231941,2016-07-02T23:19:41Z,94.09,194.39,16,160702_191950,92.5,85.8,3.56,1.66,-4.68,7.71,0.601,1.644,-1.238,50,5.78,6.555,-135.235,-7.769,-8.737,27.45,-17.711,23.8,21.2,4.5,FF,0.797,14,57,211.135,1812.702,,,http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml,top,1,Y,3,NA,NA,NA,gid_2016_07_02_anamlb_bosmlb_1,Jan-00
