"","pitcher","batter","num","b","s","o","start_tfs","start_tfs_zulu","stand","b_height","p_throws","atbat_des","atbat_des_es","event_num","event","event_es","play_guid","score","home_team_runs","away_team_runs","url","inning_side","inning","next_","event2","event2_es","batter_name","pitcher_name","gameday_link","date"
"686",453329,545361,20,1,0,2,"000627","2016-07-03T00:06:27Z","R","6-2","R","Mike Trout flies out to center fielder Jackie Bradley.  ","Mike Trout batea elevado de out a jardinero central Jackie Bradley.  ","153","Flyout","Elevado de Out","d3b60be7-1115-4dd7-aa1f-1ab5a3512bbd",NA,"0","3","http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml","top",3,"Y",NA,NA,"Mike Trout","Clay Buchholz","gid_2016_07_02_anamlb_bosmlb_1","2016_07_02"
"696",453329,545361,3,1,0,2,"231859","2016-07-02T23:18:59Z","R","6-2","R","Mike Trout hits a ground-rule double (20) on a line drive to right field.  ","Mike Trout pega doble por reglas de terreno (20) con línea al jardín derecho.  ","18","Double","Doble","d46e2d7e-0647-4611-acdb-fdd22f416d6b",NA,"0","0","http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml","top",1,"Y",NA,NA,"Mike Trout","Clay Buchholz","gid_2016_07_02_anamlb_bosmlb_1","2016_07_02"
"701",453329,545361,37,3,0,1,"005921","2016-07-03T00:59:21Z","R","6-2","R","Mike Trout singles on a ground ball to left fielder Bryce Brentz, deflected by third baseman Travis Shaw.   Kole Calhoun to 2nd.  ","Mike Trout pega sencillo con rodado a jardinero izquierdo Bryce Brentz, desviada por tercera base Travis Shaw.   Kole Calhoun a 2da.  ","289","Single","Sencillo","b678c891-a0ca-4a04-9dd5-d1a9545c1642",NA,"0","4","http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml","top",5,"Y",NA,NA,"Mike Trout","Clay Buchholz","gid_2016_07_02_anamlb_bosmlb_1","2016_07_02"
"714",592390,545361,52,2,1,2,"012540","2016-07-03T01:25:40Z","R","6-2","R","Mike Trout flies out to right fielder Mookie Betts.  ","Mike Trout batea elevado de out a jardinero derecho Mookie Betts.  ","410","Flyout","Elevado de Out","9290e55d-bca2-4ace-a93a-f03ca7f80c17",NA,"1","9","http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml","top",6,"Y",NA,NA,"Mike Trout","Heath Hembree","gid_2016_07_02_anamlb_bosmlb_1","2016_07_02"
"723",572990,545361,65,0,1,1,"015811","2016-07-03T01:58:11Z","R","6-2","R","Mike Trout hit by pitch.    Gregorio Petit to 3rd.    Kole Calhoun to 2nd.  ","Mike Trout golpeado por lanzamiento.   Gregorio Petit a 3ra.    Kole Calhoun a 2da.  ","533","Hit By Pitch","Pelotazo","3f4fdbc5-6e02-4224-a1fd-1e8166ea9ece",NA,"1","13","http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml","top",7,"Y",NA,NA,"Mike Trout","Pat Light","gid_2016_07_02_anamlb_bosmlb_1","2016_07_02"
"724",572990,545361,78,1,3,2,"022141","2016-07-03T02:21:41Z","R","6-2","R","Mike Trout called out on strikes.  ","Mike Trout se poncha sin tirarle.  ","645","Strikeout","Ponche","65bcfbe4-03cb-45b0-9055-e17f4d6df18a",NA,"2","20","http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_anamlb_bosmlb_1/inning/inning_all.xml","top",8,"Y",NA,NA,"Mike Trout","Pat Light","gid_2016_07_02_anamlb_bosmlb_1","2016_07_02"
