"","des","des_es","id","type","tfs","tfs_zulu","x","y","event_num","sv_id","play_guid","start_speed","end_speed","sz_top","sz_bot","pfx_x","pfx_z","px","pz","x0","y0","z0","vx0","vy0","vz0","ax","ay","az","break_y","break_angle","break_length","pitch_type","type_confidence","zone","nasty","spin_dir","spin_rate","cc","mt","url","inning_side","inning","next_","num","on_1b","on_2b","on_3b","gameday_link","count"
"1","Called Strike","Strike cantado",3,"S","170906","2016-07-02T17:09:06Z",117.04,171.17,"3","160702_131114","738f6446-3ba5-4989-8514-f1ebe93c16a2",83.7,74.4,3.47,1.5,-5,15.46,0.046,2.552,-0.935,50,6.491,3.866,-122.454,-7.358,-7.299,33.014,-9.548,"23.6","28.6","3.7","CH",0.75,5,41,197.878,2816.661,"","","http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_clemlb_tormlb_1/inning/inning_all.xml","top",1,"Y",1,NA,NA,NA,"gid_2016_07_02_clemlb_tormlb_1","0-0"
"2","Ball","Bola mala",4,"B","170922","2016-07-02T17:09:22Z",79.34,215.86,"4","160702_131128","ed9a82bb-91b9-485f-b24d-0006910bff72",81.1,74.2,3.47,1.5,-0.01,6.8,1.035,0.896,-1.064,50,6.423,4.88,-118.508,-7.976,-0.014,26.253,-22.592,"23.8","-2.2","7.1","CH",0.868,14,45,180.082,1173.036,"","","http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_clemlb_tormlb_1/inning/inning_all.xml","top",1,"Y",1,NA,NA,NA,"gid_2016_07_02_clemlb_tormlb_1","0-1"
"3","Swinging Strike","Strike tirándole",5,"S","170936","2016-07-02T17:09:36Z",92.95,236.59,"5","160702_131141","ae076906-5d34-4a03-ac83-6b2572796d34",72.6,66.2,3.47,1.5,6.43,-7.11,0.678,0.128,-1.289,50,6.541,2.348,-106.367,-3.559,7.059,25.284,-39.912,"23.7","-10.4","15.4","CU",0.902,14,33,42.372,1428.6,"","","http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_clemlb_tormlb_1/inning/inning_all.xml","top",1,"Y",1,NA,NA,NA,"gid_2016_07_02_clemlb_tormlb_1","1-1"
"4","Ball","Bola mala",6,"B","170953","2016-07-02T17:09:53Z",95.96,226.98,"6","160702_131200","c9bf731e-323f-4b9a-99f0-3c0113f8e4c8",74.3,67.8,3.47,1.5,-6.6,13.47,0.599,0.485,-1.011,50,6.372,5.24,-108.538,-8.673,-7.728,22.342,-16.34,"23.7","20.5","6.7","CH",0.898,14,35,206.014,2355.09,"","","http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_clemlb_tormlb_1/inning/inning_all.xml","top",1,"Y",1,NA,NA,NA,"gid_2016_07_02_clemlb_tormlb_1","1-2"
"5","Ball","Bola mala",7,"B","171004","2016-07-02T17:10:04Z",67.33,206.7,"7","160702_131213","e3a94731-aee7-4a2f-aa29-52af6e4b9b48",86.7,80.1,3.47,1.5,-2.94,12.63,1.35,1.235,-0.901,50,6.342,6.582,-126.534,-10.451,-4.768,25.369,-11.581,"23.8","14.5","3.5","FF",0.945,14,40,193.035,2423.563,"","","http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_clemlb_tormlb_1/inning/inning_all.xml","top",1,"Y",1,NA,NA,NA,"gid_2016_07_02_clemlb_tormlb_1","2-2"
"6","In play, run(s)","En juego, carrera(s)",8,"X","171025","2016-07-02T17:10:25Z",118.03,172.85,"8","160702_131229","da420152-a4df-4567-941f-6e1ee69300b5",86.2,79.2,3.47,1.5,-2.33,12.48,0.02,2.49,-0.911,50,6.464,3.067,-126.133,-7.456,-3.741,26.404,-12.065,"23.8","12.9","3.5","FF",0.927,5,20,190.537,2352.622,"","","http://gd2.mlb.com/components/game/mlb/year_2016/month_07/day_02/gid_2016_07_02_clemlb_tormlb_1/inning/inning_all.xml","top",1,"Y",1,NA,NA,NA,"gid_2016_07_02_clemlb_tormlb_1","3-2"
